FBID	CG	name	GO
"FBgn0014028"	"CG3283"	"SdhB"	"succinate dehydrogenase (ubiquinone) succinate dehydrogenase complex (sensu Eukarya) tricarboxylic acid cycle"
"FBgn0014031"	"CG3926"	"Spat"	"alanine-glyoxylate aminotransferase serine-pyruvate aminotransferase peroxisome mitochondrial matrix"
"FBgn0014340"	"CG3025"	"mof"	"(sensu Drosophila) histone acetylation dosage compensation dosage compensation, by hyperactivation of X chromosome"
"FBgn0014343"	"CG10601"	"mirr"	"transcription factor positive regulation of transcription transcriptional activator nucleus protein binding equator specification wing morphogenesis peripheral nervous system development embryonic development (sensu Insecta)"
"FBgn0014396"	"CG3234"	"tim"	"cytoplasm nucleus locomotor rhythm mating behavior circadian rhythm eclosion rhythm regulation of sleep negative regulation of transcription from Pol II promoter protein-nucleus import sleep"
"FBgn0014469"	"CG2060"	"Cyp4e2"	"cytochrome P450 microsome membrane"
"FBgn0014850"	""	"Eig71Ej"	""
"FBgn0014857"	"CG5825"	"His3.3A"	"DNA binding nucleosome chromatin assembly/disassembly"
"FBgn0014865"	"CG8175"	"Mtk "	"Gram-positive antibacterial peptide antifungal peptide antibacterial humoral response (sensu Invertebrata) antifungal humoral response (sensu Invertebrata)"
"FBgn0014869"	"CG1721"	"Pglym78"	"phosphoglycerate mutase"
"FBgn0014877"	"CG6155"	"Roe1"	"chaperone mitochondrion mitochondrial matrix protein-mitochondrial targeting"
"FBgn0014931"	"CG2678"	"NA"	"transcription factor nucleus regulation of transcription, DNA-dependent"
"FBgn0015001"	"CG7754"	"iotaTry"	"trypsin extracellular proteolysis and peptidolysis"
"FBgn0015037"	"CG10842"	"Cyp4p1"	"cytochrome P450 microsome membrane"
"FBgn0015039"	"CG4486"	"Cyp9b2"	"cytochrome P450 microsome membrane"
"FBgn0015282"	"CG5289"	"Pros26.4"	"proteasome ATPase ubiquitin-dependent protein catabolism ATP-dependent proteolysis 26S proteasome 19S proteasome regulatory particle, base subcomplex proteolysis and peptidolysis 19S proteasome regulatory particle proteasome endopeptidase"
"FBgn0015316"	"CG9564"	"Try29F"	"trypsin"
"FBgn0015359"	""	"CG2034"	""
"FBgn0015570"	"CG2505"	"alpha-Est2"	"carboxylesterase"
"FBgn0015575"	"CG1112"	"alpha-Est7 "	"carboxylesterase"
"FBgn0015609"	"CG7100"	"CadN"	"fasciculation of neuron plasma membrane beta-catenin binding cell adhesion calcium-dependent cell-cell adhesion calcium-dependent cell adhesion molecule homophilic cell adhesion integral to plasma membrane cell adhesion receptor axon target recognition intercellular junction"
"FBgn0015625"	"CG5814"	"CycB3"	"mitotic spindle assembly microtubule cytoskeleton cyclin-dependent protein kinase, regulator"
"FBgn0015714"	"CG10241"	"Cyp6a17"	"membrane cytochrome P450 microsome"
"FBgn0015766"	"CG10596("	"Msr-110"	"NA"
"FBgn0015781"	"CG6009"	"P5cr"	"proline biosynthesis pyrroline 5-carboxylate reductase"
"FBgn0015795"	"CG5915"	"Rab7"	"endosome transport endosome to lysosome transport Rho small monomeric GTPase RAB small monomeric GTPase late endosome"
"FBgn0015872"	"CG9023"	"Drip"	"water transporter water transport"
"FBgn0016031"	""	"lama"	""
"FBgn0016076"	"CG14029"	"vri"	"circadian rhythm locomotor rhythm transcription, DNA-dependent nucleus RNA polymerase II transcription factor"
"FBgn0016120"	"CG8189"	"ATPsyn-d "	"hydrogen-transporting two-sector ATPase mitochondrion proton-transporting ATP synthase complex (sensu Eukarya) proton-transporting ATP synthase complex, coupling factor F(0) (sensu Eukarya) hydrogen transport"
"FBgn0016126"	"CG1495"	"CaMKI"	"calmodulin binding protein amino acid phosphorylation protein serine/threonine kinase cytosol calmodulin-dependent protein kinase I"
"FBgn0016675"	"CG9976"	"Lectin-galC1"	"defense response galactose binding lectin lectin"
"FBgn0016691"	"CG4307"	"Oscp"	"hydrogen-transporting two-sector ATPase proton-transporting ATP synthase complex (sensu Eukarya) ATP synthesis coupled proton transport"
"FBgn0016715"	"CG3200"	"Reg-2"	"NA"
"FBgn0016718"	"CG2194"	"Reg-3"	"dihydropyrimidine dehydrogenase"
"FBgn0016930"	"CG4551"	"smi35A"	"protein kinase protein serine/threonine kinase protein amino acid phosphorylation olfaction"
"FBgn0017566"	"CG2286"	"ND75"	"NADH dehydrogenase NADH dehydrogenase (ubiquinone) iron-sulfur electron transfer carrier respiratory chain complex I (sensu Eukarya) NADH dehydrogenase complex (ubiquinone) (sensu Eukarya) oxidative phosphorylation, NADH to ubiquinone"
"FBgn0017581"	"CG17342"	"Lk6 "	"protein amino acid phosphorylation protein serine/threonine kinase microtubule-based process microtubule centrosome cytoplasm nuclear membrane protein kinase"
"FBgn0019624"	"CG14724"	"CoVa"	"cytochrome c oxidase mitochondrial inner membrane respiratory chain complex IV (sensu Eukarya) electron transport"
"FBgn0019644"	"CG6030"	"ATPsyn-b"	"hydrogen-transporting two-sector ATPase mitochondrion proton-transporting ATP synthase complex (sensu Eukarya) proton-transporting ATP synthase complex, coupling factor F(0) (sensu Eukarya) hydrogen-transporting two-sector ATPase complex"
"FBgn0019957"	"CG6343"	"ND42"	"NADH dehydrogenase NADH dehydrogenase (ubiquinone) mitochondrial matrix NADH dehydrogenase complex (ubiquinone) (sensu Eukarya) electron transport"
"FBgn0019982"	"CG15441"	"Gs1l"	"hydrolase glutamate-ammonia ligase"
"FBgn0020129"	"CG12240"	"DnaJ-60"	"chaperone spermatogenesis"
"FBgn0020236"	"CG8322"	"ATPCL"	"ATP-citrate (pro-S)-lyase cytoplasm acetyl-CoA biosynthesis"
"FBgn0020379"	"CG6312"	"Rfx"	"RNA polymerase II transcription factor nucleus"
"FBgn0020385"	""	"Pug"	""
"FBgn0020416"	"CG4472"	"Idgf1"	"imaginal disc growth factor extracellular chitinase"
"FBgn0020506"	"CG8221"	"Amyrel"	"oligo-1,6-glucosidase alpha-amylase"
"FBgn0020633"	"CG4978"	"Mcm7"	"pre-replicative complex formation and maintenance pre-replicative complex chromatin binding"
"FBgn0020637"	"CG10534"	"Lcp65Ag2"	"structural constituent of larval cuticle (sensu Insecta)"
"FBgn0020647"	"CG5405"	"KrT95D"	"protein-Golgi targeting"
"FBgn0020766"	"CG13348"	"Aats-phe"	"phenylalanine-tRNA ligase phenylalanyl-tRNA aminoacylation"
"FBgn0020906"	"CG8867"	"Ser4"	"pancreatic elastase serine-type endopeptidase"
"FBgn0021874"	"CG2863"	"Nle"	"N receptor signaling pathway"
"FBgn0021979"	""	"l(2)k09913"	""
"FBgn0022342"	"CG4844"	"NA"	"NA"
"FBgn0022699"	"CG10270"	"D19B"	""
"FBgn0022710"	"CG9210"	"Ac13E"	"adenylate cyclase"
"FBgn0023023"	"CG1411"	"CRMP"	"dihydropyrimidinase"
"FBgn0023076"	"CG7391"	"Clk"	"RNA polymerase II transcription factor nucleus response to cocaine (sensu Insecta) locomotor rhythm circadian rhythm eclosion rhythm regulation of sleep positive regulation of transcription, DNA-dependent"
"FBgn0023184"	"CG3333"	"Nop60B"	"rRNA processing nucleolus nucleus pseudouridylate synthase"
"FBgn0023407"	""	"B4"	""
"FBgn0023477"	"CG2827"	"Transaldolase"	""
"FBgn0023516"	"CG14815"	"EG:63B12.5"	"peroxisome targeting signal receptor"
"FBgn0023525"	"CG3191"	"EG:30B8.3"	""
"FBgn0023545"	"CG4406"	"EG:133E12.3"	"GPI-anchor transamidase"
"FBgn0024179"	"CG10776"	"wit"	"protein kinase type II transforming growth factor-beta receptor plasma membrane signal transduction protein amino acid phosphorylation neuromuscular junction development"
"FBgn0024183"	"CG4170"	"vig"	"NA"
"FBgn0024238"	"CG8649"	"Fim"	"actin binding female meiosis chromosome segregation"
"FBgn0024250"	"CG9653"	"brk"	"RNA polymerase II transcription factor transcriptional repressor specific transcriptional repressor nucleus TGFbeta receptor signaling pathway regulation of BMP signaling pathway negative regulation of transcription from Pol II promoter salivary gland determination"
"FBgn0024289"	"CG1982"	"Sodh-1"	"L-iditol 2-dehydrogenase"
"FBgn0024291"	"CG5216"	"Sir2"	"NAD-dependent histone deacetylase histone deacetylation"
"FBgn0024332"	"CG4206"	"Mcm3"	"pre-replicative complex formation and maintenance pre-replicative complex chromatin binding"
"FBgn0024365"	"CG12773"	"EG:8D8.3"	"sodium:chloride/potassium:chloride symporter"
"FBgn0024368"	""	"EG:190E7.1"	""
"FBgn0024732"	"CG8357"	"Rep1"	"anti-apoptosis DNA fragmentation"
"FBgn0024846"	"CG7393"	"p38b"	"SAP kinase defense response protein amino acid phosphorylation nucleus MAP kinase protein serine/threonine kinase MAPKKK cascade MP kinase immune response TGFbeta receptor signaling pathway regulation of innate immune response regulation of BMP signaling pathway wing morphogenesis response to stress"
"FBgn0024897"	"CG3100"	"b6"	"neuronal pentraxin receptor"
"FBgn0024944"	"CG3856"	"Oamb"	"plasma membrane octopamine receptor integral to membrane amine receptor octopamine/tyramine signaling pathway"
"FBgn0024992"	"CG2658"	"EG:100G10.7"	"metallopeptidase proteolysis and peptidolysis mitochondrion"
"FBgn0025376"	""	"EG:EG0002.3"	""
"FBgn0025379"	""	"EG:9D2.2"	""
"FBgn0025390"	"CG14796"	"EG:56G7.1"	"NA"
"FBgn0025395"	""	"EG:196F3.1"	""
"FBgn0025454"	"CG8453"	"Cyp6g1"	"membrane cytochrome P450 microsome"
"FBgn0025456"	"CG5413"	"CREG"	"NA"
"FBgn0025519"	"CG7773"	"fidipidine"	""
"FBgn0025583"	"CG18106"	"IM2"	"defense/immunity protein extracellular defense response"
"FBgn0025618"	"CG12311"	"EG:34F3.7"	"dolichyl-phosphate-mannose-protein mannosyltransferase"
"FBgn0025620"	""	"EG:34F3.5"	""
"FBgn0025621"	""	"EG:34F3.4"	""
"FBgn0025634"	""	"EG:115C2.8"	""
"FBgn0025682"	"CG9148"	"scf "	"DNA supercoiling"
"FBgn0025726"	"CG2999"	"unc-13"	"diacylglycerol binding calmodulin binding synaptic vesicle synaptic transmission neurotransmitter secretion synaptic vesicle exocytosis synaptic vesicle priming"
"FBgn0025803"	"CG17299"	"SNF4Agamma"	"protein serine/threonine kinase SNF1A/AMP-activated protein kinase protein amino acid phosphorylation"
"FBgn0025814"	"CG1742"	"Mgstl"	"glutathione transferase microsome"
"FBgn0025830"	""	"EG:EG0003.5"	""
"FBgn0026136"	"CG8914"	"CkIIbeta2"	"protein kinase protein kinase CK2, regulator protein kinase CK2 complex protein amino acid phosphorylation"
"FBgn0026268"	"CG1386"	"antdh"	"carbonyl reductase (NADPH)"
"FBgn0026315"	"CG6644"	"Ugt35a"	"UDP-glycosyltransferase"
"FBgn0026385"	""	"Or47E.2"	""
"FBgn0026389"	""	"Or43B.1"	""
"FBgn0026396"	""	"Or22C.1"	""
"FBgn0026397"	""	"Or22A.2"	""
"FBgn0026415"	"CG1780"	"Idgf4"	"imaginal disc growth factor"
"FBgn0026428"	""	"HDAC2"	""
"FBgn0026563"	"CG1979"	"BG:DS00464.1"	"NA"
"FBgn0026565"	"CG1315"	"BG:DS00004.14"	"argininosuccinate synthase arginine biosynthesis urea cycle"
"FBgn0026602"	"CG1851"	"Ady43A"	"adenosine kinase"
"FBgn0026749"	"CG1989"	"Yippee"	"zinc ion binding"
"FBgn0026780"	"NA"	"Qcr9 "	"NA"
"FBgn0026876"	"CG11403"	"EG:33C11.2"	"nucleotide-excision repair helicase ATP dependent DNA helicase"
"FBgn0027094"	"CG13391"	"Aats-ala"	"alanine-tRNA ligase alanyl-tRNA aminoacylation"
"FBgn0027343"	"CG16785"	"fz3"	"Wnt-protein binding transmembrane receptor frizzled-2 receptor plasma membrane integral to membrane signal transduction Wnt receptor signaling pathway frizzled receptor signaling pathway establishment and/or maintenance of cell polarity"
"FBgn0027542"	""	"BcDNA:GH11973"	""
"FBgn0027544"	"CG2217"	"BcDNA:GH11688"	""
"FBgn0027546"	"CG4766"	"BcDNA:GH11415"	""
"FBgn0027552"	"CG10863"	"BcDNA:GH10614"	"aldehyde reductase"
"FBgn0027554"	"CG8042"	"BcDNA:GH10229"	""
"FBgn0027571"	"CG3523"	"BcDNA:GH07626"	"fatty-acid synthase"
"FBgn0027579"	"CG5508"	"BcDNA:GH07066"	""
"FBgn0027581"	""	"BcDNA:GH06193"	""
"FBgn0027601"	"CG9009"	"BcDNA:GH02901"	"long-chain-fatty-acid-CoA-ligase"
"FBgn0027611"	"CG6206"	"BcDNA:GH02419"	"lysosome alpha-mannosidase"
"FBgn0027657"	"CG9734"	"glob1"	"globin"
"FBgn0027779"	"CG17332"	"VhaSFD"	"hydrogen-transporting two-sector ATPase hydrogen-transporting ATPase V1 domain"
"FBgn0027780"	"CG13401"	"U26"	""
"FBgn0027785"	"CG6008"	"NP15.6"	"NA"
"FBgn0027788"	"CG11194"	"Hey"	"transcription factor nucleus"
"FBgn0027793"	"CG14787"	"EG:BACN32G11.4"	""
"FBgn0027842"	"CG12891"	"CPTI"	"carnitine O-palmitoyltransferase mitochondrion"
"FBgn0027844"	"CG7820"	"CAH1"	"carbonate dehydratase"
"FBgn0027897"	"NA"	"BcDNA:LD03471"	"NA"
"FBgn0027929"	"CG33119"	"BG:DS00180.12 "	""
"FBgn0027945"	"CG7758"	"ppl"	"mitochondrion glycine cleavage system complex"
"FBgn0028370"	"CG4192"	"kek3"	""
"FBgn0028381"	"CG14902"	"decay"	"caspase effector caspase caspase-3 cytoplasm apoptosis apoptotic program"
"FBgn0028411"	"NA"	"NTX1"	"NA"
"FBgn0028420"	"CG18783"	"Kr-h1"	"metamorphosis nucleus transcription factor"
"FBgn0028436"	"CG10610"	"ECSIT"	"signal transduction Tl receptor signaling pathway defense response"
"FBgn0028478"	"NA"	"BcDNA:GM04779"	"NA"
"FBgn0028479"	"CG4389"	"BcDNA:GH12558"	"long-chain 3-hydroxyacyl-CoA dehydrogenase long-chain enoyl-CoA hydratase fatty acid beta-oxidation multienzyme complex"
"FBgn0028480"	"CG17841"	"BcDNA:GH12326"	""
"FBgn0028506"	"CG4455"	"BG:DS09218.3"	"protein disulfide isomerase"
"FBgn0028508"	"CG13240"	"BG:DS09217.1"	"NA"
"FBgn0028523"	"CG5888"	"BG:DS02780.1"	"transmembrane receptor"
"FBgn0028526"	""	"BG:DS01759.2"	""
"FBgn0028532"	""	"BG:DS00941.15"	""
"FBgn0028533"	"CG7953"	"BG:DS00941.14"	"NA"
"FBgn0028534"	"CG7916"	"BG:DS00941.13"	"NA"
"FBgn0028540"	"CG9008"	"BG:DS00797.2"	"NA"
"FBgn0028550"	""	"A3-3"	""
"FBgn0028685"	"CG3455"	"Rpt4"	"19S proteasome regulatory particle, base subcomplex proteasome ATPase proteolysis and peptidolysis 19S proteasome regulatory particle proteasome endopeptidase"
"FBgn0028847"	"CG9014"	"BG:DS08249.3"	""
"FBgn0028848"	"CG7311"	"BG:DS08249.2"	"mitochondrion glycerol-3-phosphate dehydrogenase"
"FBgn0028855"	"CG15282"	"BG:DS07721.3 "	""
"FBgn0028876"	"CG16876"	"BG:DS05899.3"	"NA"
"FBgn0028886"	"CG15279"	"BG:DS03431.1"	"cation:amino acid symporter neurotransmitter:sodium symporter"
"FBgn0028902"	""	"BG:DS02252.2"	""
"FBgn0028904"	""	"BG:DS01759.1"	""
"FBgn0028917"	"CG18125"	"BG:DS01068.10"	"serine-type endopeptidase"
"FBgn0028920"	""	"BG:DS00941.12"	""
"FBgn0028939"	"CG18146"	"BG:DS00180.14 "	"NA"
"FBgn0028946"	""	"BG:BACR44L22.5"	""
"FBgn0028950"	"CG15255"	"BG:BACR44L22.1"	"metalloendopeptidase"
"FBgn0028963"	""	"AN13"	""
"FBgn0028980"	"CG6586"	"tan"	"transaldolase cytoplasm pentose-phosphate shunt, non-oxidative branch"
"FBgn0029158"	"CG5231"	"Las"	"lipoic acid synthase mitochondrion lipoic acid biosynthesis"
"FBgn0029517"	"CG13377"	"EG:BACR37P7.9"	"3-hydroxybutyrate dehydrogenase"
"FBgn0029527"	"CG18503"	""	""
"FBgn0029542"	"CG3708"	""	""
"FBgn0029545"	"CG11642"	"EG:BACR7A4.5"	"NA"
"FBgn0029549"	"CG3699"	""	""
"FBgn0029550"	"CG3690"	""	""
"FBgn0029555"	"CG14630"	"EG:BACR7A4.9"	"gamma-butyrobetaine,2-oxoglutarate dioxygenase"
"FBgn0029562"	"CG11384"	""	""
"FBgn0029567"	"CG14625"	""	""
"FBgn0029570"	"CG11382"	""	""
"FBgn0029587"	"CG14797"	""	""
"FBgn0029590"	"CG14811"	"NA"	"NA"
"FBgn0029605"	"CG18082"	"NA"	"NA"
"FBgn0029606"	"CG14052"	""	""
"FBgn0029608"	"CG3091"	"NA"	"tocopherol binding"
"FBgn0029617"	"CG12496"	"EG:BACH7M4.4"	"NA"
"FBgn0029629"	"CG8636"	""	"RNA binding translation initiation factor eukaryotic translation initiation factor 3 complex translational initiation"
"FBgn0029652"	"CG14265"	""	""
"FBgn0029657"	"CG12535"	""	""
"FBgn0029659"	"CG16782"	""	""
"FBgn0029664"	"CG10802"	""	""
"FBgn0029677"	"CG15238"	""	""
"FBgn0029694"	"CG15375"	""	""
"FBgn0029698"	"CG15573"	"Femcoat"	"structural constituent of chorion (sensu Insecta) cytoplasm insect chorion formation"
"FBgn0029702"	"CG15572"	""	""
"FBgn0029716"	"CG3546"	""	""
"FBgn0029721"	"CG7010"	"NA"	"pyruvate dehydrogenase complex (lipoamide) pyruvate dehydrogenase (lipoamide)"
"FBgn0029736"	"CG4041"	"NA"	"protein kinase"
"FBgn0029745"	"CG6789"	""	""
"FBgn0029753"	"CG4198"	""	""
"FBgn0029761"	"CG10706"	"SK"	"calcium-activated potassium channel small conductance calcium-activated potassium channel"
"FBgn0029762"	"CG3252"	""	"potassium:amino acid transporter"
"FBgn0029765"	"CG16756"	""	"antimicrobial humoral response (sensu Invertebrata) lysozyme"
"FBgn0029766"	"CG15784"	""	""
"FBgn0029791"	"CG4096"	"NA"	"metalloendopeptidase"
"FBgn0029799"	"CG15772"	""	""
"FBgn0029813"	"CG15766"	""	""
"FBgn0029815"	"CG11462"	""	""
"FBgn0029824"	"CG3726"	""	"DNA binding"
"FBgn0029848"	"CG3599"	""	""
"FBgn0029849"	"CG3774"	""	"nucleotide-sugar transporter"
"FBgn0029870"	"CG3869"	"Marf"	"mitochondrion organization and biogenesis plasma membrane GTP binding"
"FBgn0029881"	"CG3973"	""	""
"FBgn0029887"	"CG3198"	"NA"	"small nuclear ribonucleoprotein complex snRNP U1 mRNA splicing"
"FBgn0029888"	"CG3192"	"NA"	"NADH dehydrogenase (ubiquinone) NADH dehydrogenase complex (ubiquinone) (sensu Eukarya)"
"FBgn0029889"	"CG4094"	"NA"	"mitochondrion fumarate hydratase"
"FBgn0029891"	"CG4523"	""	"protein kinase"
"FBgn0029900"	"CG14437"	""	""
"FBgn0029907"	"CG4547"	""	""
"FBgn0029909"	"CG12796"	""	"integral to membrane amine receptor G-protein coupled receptor protein signaling pathway G-protein coupled receptor"
"FBgn0029948"	"CG15033"	"NA"	"NA"
"FBgn0029955"	"CG15478"	""	""
"FBgn0029961"	"CG12663"	""	""
"FBgn0029963"	"CG10920"	""	"carrier mitochondrion"
"FBgn0029966"	"CG15324"	""	"glutamate-gated ion channel"
"FBgn0029976"	"CG1514"	"NA"	"NA"
"FBgn0030023"	"CG15342"	""	""
"FBgn0030033"	"CG1387"	""	""
"FBgn0030039"	"CG12123"	""	""
"FBgn0030041"	"CG12116"	""	"sepiapterin reductase"
"FBgn0030043"	"CG15349"	""	""
"FBgn0030044"	"CG15350"	""	""
"FBgn0030045"	"CG15351"	""	""
"FBgn0030047"	"CG12113"	""	""
"FBgn0030059"	"CG1787"	""	""
"FBgn0030069"	"CG12660"	""	""
"FBgn0030083"	"CG4350"	""	""
"FBgn0030087"	"CG7766"	""	"phosphorylase kinase, regulator phosphorylase kinase complex"
"FBgn0030090"	"CG12664"	"ld14"	"plasma membrane"
"FBgn0030092"	"CG8971"	"fh"	"mitochondrion iron ion homeostasis"
"FBgn0030119"	"NA"	"CG2309"	"NA"
"FBgn0030144"	"CG3003"	""	""
"FBgn0030151"	"CG1354"	""	"GTP binding hydrolase, acting on acid anhydrides, in phosphorus-containing anhydrides"
"FBgn0030155"	"CG15246"	""	""
"FBgn0030160"	"CG9691"	""	""
"FBgn0030163"	"CG1791"	"NA"	"NA"
"FBgn0030170"	"CG2990"	""	"ATP dependent DNA helicase single-stranded DNA specific endodeoxyribonuclease"
"FBgn0030178"	"CG2974"	"NA"	"NA"
"FBgn0030179"	"CG12094"	""	""
"FBgn0030183"	"CG15309"	""	""
"FBgn0030187"	"CG2961"	""	""
"FBgn0030194"	"CG2221"	""	""
"FBgn0030202"	"CG12640"	"NA"	"NA"
"FBgn0030211"	"CG15301"	""	""
"FBgn0030214"	"CG15297"	""	""
"FBgn0030218"	"CG1628"	""	"ornithine transporter carrier mitochondrial membrane mitochondrial inner membrane"
"FBgn0030225"	"CG1852"	""	""
"FBgn0030237"	"CG15209"	"NA"	"NA"
"FBgn0030298"	"CG17867"	"Or10a"	"integral to membrane olfaction olfactory receptor"
"FBgn0030310"	"CG11709"	"PGRP-SA"	"peptidoglycan recognition integral to plasma membrane extracellular anti-Gram-positive bacterial polypeptide induction perception of bacteria defense response immune response"
"FBgn0030341"	"CG1967"	"NA"	"coated vesicle post Golgi transport"
"FBgn0030342"	"CG10347"	"NA"	"NA"
"FBgn0030345"	"CG1847"	"NA"	"aryl hydrocarbon-receptor binding"
"FBgn0030361"	"CG1492"	"NA"	"gamma-glutamyl transferase"
"FBgn0030371"	"CG2779"	""	""
"FBgn0030379"	"CG12720"	""	""
"FBgn0030382"	"CG18182"	""	""
"FBgn0030385"	"CG15732"	""	"glutamate-gated ion channel"
"FBgn0030400"	"CG11138"	""	""
"FBgn0030408"	"CG11085"	""	"transcription factor"
"FBgn0030432"	"CG4404"	""	""
"FBgn0030436"	"CG4396"	"fne"	"RNA binding"
"FBgn0030437"	"CG4395"	""	"integral to membrane neuropeptide receptor G-protein coupled receptor protein signaling pathway calcitonin receptor secretin-like receptor"
"FBgn0030438"	"CG15721"	""	""
"FBgn0030469"	"CG15745"	"NA"	"NA"
"FBgn0030482"	"CG1673"	""	"branched-chain amino acid aminotransferase"
"FBgn0030484"	"CG1681"	"NA"	"glutathione transferase"
"FBgn0030487"	"CG12726"	""	""
"FBgn0030497"	"CG32632"	"NA"	"protein-tyrosine sulfotransferase"
"FBgn0030512"	"CG9940"	"NA"	"NADH biosynthesis NAD+ synthase (glutamine-hydrolyzing)"
"FBgn0030520"	"CG10990"	""	""
"FBgn0030527"	"CG11096"	""	""
"FBgn0030531"	"CG32626"	"NA"	"AMP deaminase"
"FBgn0030534"	"CG11082"	""	""
"FBgn0030539"	"CG1368"	""	"structural constituent of chorion (sensu Insecta)"
"FBgn0030561"	"CG5228"	""	""
"FBgn0030567"	"CG5291"	""	""
"FBgn0030569"	"CG9411"	""	""
"FBgn0030570"	"CG12540"	""	""
"FBgn0030591"	"CG9517"	""	"glucose dehydrogenase"
"FBgn0030593"	"CG9512"	""	"choline dehydrogenase"
"FBgn0030594"	"CG9509"	"NA"	"choline dehydrogenase"
"FBgn0030596"	"CG12398"	"NA"	"glucose dehydrogenase (acceptor)"
"FBgn0030602"	"CG15026"	""	""
"FBgn0030613"	"CG5627"	"rab3-GEF"	"synaptic vesicle fusion synaptic vesicle neurotransmitter secretion RAB guanyl-nucleotide exchange factor"
"FBgn0030614"	"CG9072"	""	""
"FBgn0030621"	"CG15030"	""	""
"FBgn0030631"	"CG6227"	""	"mRNA splicing ATP dependent RNA helicase RNA helicase RNA binding spliceosome complex"
"FBgn0030664"	"CG8119"	""	""
"FBgn0030677"	"CG8198"	"NA"	"NA"
"FBgn0030678"	"CG11679"	""	""
"FBgn0030679"	"CG8206"	"NA"	"NA"
"FBgn0030688"	"CG8952"	""	"serine-type endopeptidase"
"FBgn0030733"	"CG3560"	"NA"	"ubiquinol-cytochrome c reductase ubiquinol-cytochrome c reductase complex (sensu Eukarya)"
"FBgn0030737"	"CG9914"	"NA"	"NA"
"FBgn0030760"	"CG4443"	"crl"	"courtship behavior spermatogenesis ubiquitin conjugating enzyme ubiquitin cycle male courtship behavior male meiosis"
"FBgn0030823"	"CG8918"	""	""
"FBgn0030831"	"CG12997"	""	""
"FBgn0030835"	"CG12996"	""	""
"FBgn0030837"	"CG8661"	"NA"	"NA"
"FBgn0030846"	"CG12992"	""	""
"FBgn0030853"	"CG5703"	"NA"	"NADH dehydrogenase (ubiquinone) NADH dehydrogenase complex (ubiquinone) (sensu Eukarya)"
"FBgn0030859"	"CG12990"	"NA"	"NA"
"FBgn0030882"	"CG6835"	""	"glutathione synthase"
"FBgn0030899"	"CG5927"	"Her"	"transcription factor nucleus"
"FBgn0030903"	"CG15060"	""	""
"FBgn0030920"	"CG6306"	""	""
"FBgn0030928"	"CG15044"	"NA"	"NA"
"FBgn0030929"	"CG15043"	""	""
"FBgn0030967"	"CG7282"	""	""
"FBgn0030981"	"CG14191"	"NA"	"NA"
"FBgn0030986"	"CG7481"	"RhoGAP18B"	""
"FBgn0030994"	"CG14193"	""	""
"FBgn0031021"	"CG12203"	"NA"	"NADH dehydrogenase (ubiquinone) NADH dehydrogenase complex (ubiquinone) (sensu Eukarya)"
"FBgn0031024"	"CG12233"	"NA"	"isocitrate dehydrogenase (NAD+) mitochondrial matrix"
"FBgn0031024"	"CG12233"	"NA"	"mitochondrial matrix isocitrate dehydrogenase (NAD+)"
"FBgn0031069"	"CG12703"	""	"ATP-binding cassette (ABC) transporter integral peroxisomal membrane peroxisome organization and biogenesis"
"FBgn0031069"	"CG6877"	"Aut1"	"peroxisome organization and biogenesis integral peroxisomal membrane ATP-binding cassette (ABC) transporter"
"FBgn0031073"	"CG11941"	""	""
"FBgn0031081"	"CG9565"	"Nep3"	"endothelin-converting enzyme metallopeptidase metalloendopeptidase"
"FBgn0031088"	"CG15322"	"NA"	"NA"
"FBgn0031092"	"CG9577"	""	"delta,5-delta2,4-dienoyl-CoA isomerase"
"FBgn0031123"	"CG15453"	""	""
"FBgn0031124"	"CG1379"	""	"transcription factor nucleus"
"FBgn0031132"	"CG15450"	""	"lysophosphatidate acyltransferase"
"FBgn0031134"	"CG1314"	""	""
"FBgn0031136"	"CG11233"	""	""
"FBgn0031140"	"CG12092"	"NA"	"plasma membrane"
"FBgn0031142"	"CG10998"	""	""
"FBgn0031156"	"CG11568"	""	""
"FBgn0031158"	"CG11569"	""	""
"FBgn0031160"	"CG1501"	""	""
"FBgn0031165"	"CG1726"	""	""
"FBgn0031168"	"CG1722"	""	""
"FBgn0031172"	"CG33071"	"NA"	"NA"
"FBgn0031182"	"CG1644"	"Cyp6t1"	"cytochrome P450 microsome membrane"
"FBgn0031223"	"CG18501"	""	""
"FBgn0031240"	"CG3345"	""	""
"FBgn0031244"	"CG11601"	"NA"	"NA"
"FBgn0031248"	"CG11912"	"NA"	"serine-type endopeptidase"
"FBgn0031249"	"CG11911"	"NA"	"serine-type endopeptidase"
"FBgn0031257"	"CG4133"	""	""
"FBgn0031275"	"CG3022"	"GABA-B-R3"	"GABA-B receptor integral to membrane G-protein coupled receptor protein signaling pathway"
"FBgn0031277"	"CG13947"	"NA"	"NA"
"FBgn0031285"	"CG3662"	"NA"	"NA"
"FBgn0031295"	"CG4375"	""	""
"FBgn0031303"	"CG4710"	""	""
"FBgn0031307"	"CG4726"	""	"high affinity inorganic phosphate:sodium symporter"
"FBgn0031340"	"CG14348"	""	""
"FBgn0031344"	"CG7420"	""	""
"FBgn0031348"	"CG10870"	""	""
"FBgn0031352"	"CG7361"	"RFeSP"	"respiratory chain complex III (sensu Eukarya)"
"FBgn0031358"	"CG17657"	""	""
"FBgn0031359"	"CG18317"	"NA"	"carrier mitochondrial membrane"
